SCENE_ID,START_TIME,END_TIME,DURATION,NARRATION,VISUAL_TYPE,VISUAL_DESCRIPTION,CAMERA,LENS_PERSPECTIVE,MOVEMENT,LIGHTING,COMPOSITION,ON_SCREEN_TEXT,SOURCE,ASSET_STATUS,TRANSITION,SOUND,PURPOSE,AS_BUILT_SHOTS,AS_BUILT_SOUND,CAMERA_METADATA_STATUS,VISUAL_ARGUMENT_LINK
S011,00:01:08.000,00:01:11.200,3.200000,Được dùng ứng dụng không có nghĩa được tham gia thiết kế;,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Ngăn đánh tráo ba cấp độ ngay từ đầu. Asset: MG02_three_layers.mp4.,Top-down clean diagram,Orthographic,Rings mở cách nhau 10 cm,"Studio black, highlights amber",Đồng tâm nhưng không chồng nhãn; nhân vật nhỏ ở rìa,LIÊN QUAN ≠ ĐỒNG NGHĨA,assets/v11_graphics/MG02_three_layers.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Metal slide nhẹ, theme nốt đơn",Ngăn đánh tráo ba cấp độ ngay từ đầu.,V11 plan: assets/v11_graphics/MG02_three_layers.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Ngăn đánh tráo ba cấp độ ngay từ đầu.
S012,00:01:11.200,00:01:19.533,8.333333,quyền truy cập cũng chưa phải tiếng nói trong quyết định công nghệ. Giả sử hệ thống chỉ nhằm giảm thời gian trống của phòng khám.,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Tạo hình trực tiếp cho ranh giới khái niệm quan trọng nhất. Asset: MG03_access_participation.mp4.,Symmetrical split,50 mm cả hai nửa,"Left locked, right slow push","Hospital daylight vs studio tungsten, cân màu chung",Đường chia đúng giữa; không card UI,QUYỀN TRUY CẬP ≠ QUYỀN THAM GIA QUYẾT ĐỊNH,assets/v11_graphics/MG03_access_participation.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Door close muted; ambience hai không gian giao nhau,Tạo hình trực tiếp cho ranh giới khái niệm quan trọng nhất.,V11 plan: assets/v11_graphics/MG03_access_participation.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Tạo hình trực tiếp cho ranh giới khái niệm quan trọng nhất.
S013,00:01:19.533,00:01:35.000,15.466667,"Nó vẫn có thể chạy đúng đặc tả, trong khi người cao tuổi, người khuyết tật hoặc bệnh nhân có kết nối mạng không ổn định gặp bất lợi. Lỗi ở đây không nhất thiết là một dòng mã hỏng. Hệ thống có thể hoạt động chính xác theo một mục tiêu được lựa chọn quá hẹp.",V11 · ĐỒ HỌA GIẢI THÍCH + FOOTAGE QUAY THẬT + MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Cho thấy hệ thống có thể đúng đặc tả nhưng đặc tả vẫn chứa lựa chọn giá trị. Asset: V9_014.mp4, mixkit_41180_1080.mp4, V9_006.mp4, MG44_correct_spec_wrong_goal.mp4.",Macro tabletop,85 mm macro,Slider ngang theo hàng lịch,"Key lạnh trên acrylic, amber ở thanh hiệu suất",Khối lịch kín giữa; người bị ảnh hưởng ở soft background,MỤC TIÊU HẸP · GIẢM THỜI GIAN TRỐNG,assets/flow_v9_raw/V9_014.mp4 | assets/v11_real/mixkit/mixkit_41180_1080.mp4 | assets/flow_v9_raw/V9_006.mp4 | assets/v11_graphics/MG44_correct_spec_wrong_goal.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Clock tick nhỏ; blocks click,Cho thấy hệ thống có thể đúng đặc tả nhưng đặc tả vẫn chứa lựa chọn giá trị.,V11 plan: assets/flow_v9_raw/V9_014.mp4 | assets/v11_real/mixkit/mixkit_41180_1080.mp4 | assets/flow_v9_raw/V9_006.mp4 | assets/v11_graphics/MG44_correct_spec_wrong_goal.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Cho thấy hệ thống có thể đúng đặc tả nhưng đặc tả vẫn chứa lựa chọn giá trị.
S014,00:01:35.000,00:01:53.700,18.700000,"Mâu thuẫn triết học xuất hiện: hiệu quả được hiểu theo nghĩa nào, cho ai, và điều gì bị đẩy ra ngoài phép tính? Đây không chỉ là câu hỏi mã lệnh đúng hay sai. Đó là câu hỏi về cách một lựa chọn xã hội trở thành cấu trúc kỹ thuật.",V11 · ĐỒ HỌA GIẢI THÍCH + FOOTAGE QUAY THẬT + MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Đặt mâu thuẫn hiệu quả–công bằng bằng trải nghiệm cụ thể. Asset: S051_flow_1080p.mp4, mixkit_42648_1080.mp4, mixkit_42664_1080.mp4, MG42_efficiency_for_whom.mp4.",Triptych documentary close-ups,85 mm,Subtle push on each panel,"Natural soft light, không thương hại hóa","Ba nhân vật ngang hàng, không gương mặt méo",HIỆU QUẢ · CHO AI? | CÁI GÌ NẰM NGOÀI PHÉP TÍNH?,assets/flow_selected/S051_flow_1080p.mp4 | assets/v11_real/mixkit/mixkit_42648_1080.mp4 | assets/v11_real/mixkit/mixkit_42664_1080.mp4 | assets/v11_graphics/MG42_efficiency_for_whom.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Ambience mỏng; pulse lệch nhịp; theme tạm rút; nhịp thở hình/nhạc 4.0s, không kéo chậm giọng",Đặt mâu thuẫn hiệu quả–công bằng bằng trải nghiệm cụ thể.,V11 plan: assets/flow_selected/S051_flow_1080p.mp4 | assets/v11_real/mixkit/mixkit_42648_1080.mp4 | assets/v11_real/mixkit/mixkit_42664_1080.mp4 | assets/v11_graphics/MG42_efficiency_for_whom.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Đặt mâu thuẫn hiệu quả–công bằng bằng trải nghiệm cụ thể.
S015,00:01:53.700,00:01:58.400,4.700000,Cách nhìn đầu tiên: công nghệ chỉ là phương tiện; kết quả tùy mục đích sử dụng.,V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Trình bày thuyết công cụ công bằng trước khi phê bình giới hạn. Asset: S015_neutral_tool_1080p.mp4.,Neutral product-observation,50 mm,Arc 15 độ,"High-key restrained, nền warm paper","Dụng cụ trung tâm, tay chỉ vào khung rồi ra",CÁCH TIẾP CẬN 1 · THUYẾT CÔNG CỤ,assets/flow_selected/S015_neutral_tool_1080p.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Một nốt piano khô; foley kim loại,Trình bày thuyết công cụ công bằng trước khi phê bình giới hạn.,V11 plan: assets/flow_selected/S015_neutral_tool_1080p.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Trình bày thuyết công cụ công bằng trước khi phê bình giới hạn.
S016,00:01:58.400,00:02:08.933,10.533333,Feenberg gọi đây là thuyết công cụ: công nghệ được xem là trung tính về giá trị và do con người kiểm soát. Cách nhìn này nhắc trách nhiệm của người dùng.,V11 · TÀI LIỆU NGUỒN,Chuỗi hình V11 khớp trực tiếp luận điểm: Chứng minh trực tiếp nguồn thay vì chỉ nói bằng đồ họa. Asset: S016_source_card.png.,Document macro,Flat scan perspective,Slow digital pan 2%,"Paper-neutral, không tint quá mức","Trang nguồn chiếm 78%, citation ở đáy","THUYẾT CÔNG CỤ · TRUNG TÍNH + CON NGƯỜI KIỂM SOÁT | Andrew Feenberg, What Is Philosophy of Technology?, PDF tr. 5–6",assets/v11_source_cards_r6/S016_source_card.png,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Paper texture; pencil underline foley; music -6 dB,Chứng minh trực tiếp nguồn thay vì chỉ nói bằng đồ họa.,V11 plan: assets/v11_source_cards_r6/S016_source_card.png,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Chứng minh trực tiếp nguồn thay vì chỉ nói bằng đồ họa.
S017,00:02:08.933,00:02:22.900,13.966667,"Nhưng nếu dừng ở đó, ta bỏ qua câu hỏi ai đã lựa chọn cấu trúc của phương tiện. Feenberg định vị tranh luận bằng hai trục, không phải bốn giai đoạn. Trục thứ nhất hỏi công nghệ trung tính hay mang giá trị.",V11 · ĐỒ HỌA GIẢI THÍCH + FOOTAGE QUAY THẬT,"Chuỗi hình V11 khớp trực tiếp luận điểm: Chuyển từ trách nhiệm sử dụng sang chính trị của thiết kế. Asset: mixkit_29991_1080.mp4, MG04_matrix_intro.mp4.",Macro reveal,100 mm macro,"Roll vật thể chậm, camera locked",Raking light làm nổi cấu trúc,"Foreground vật thể, shadow designers hậu cảnh",NGƯỜI DÙNG CHỌN MỤC ĐÍCH · AI CHỌN CẤU TRÚC?,assets/v11_real/mixkit/mixkit_29991_1080.mp4 | assets/v11_graphics/MG04_matrix_intro.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Click ngàm; low texture trở lại,Chuyển từ trách nhiệm sử dụng sang chính trị của thiết kế.,V11 plan: assets/v11_real/mixkit/mixkit_29991_1080.mp4 | assets/v11_graphics/MG04_matrix_intro.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Chuyển từ trách nhiệm sử dụng sang chính trị của thiết kế.
S018,00:02:22.900,00:02:26.900,4.000000,Trục thứ hai hỏi công nghệ tự trị hay con người có thể kiểm soát.,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Ngăn lỗi diễn giải phổ biến về ma trận. Asset: MG05_matrix_axes.mp4.,Top-down diagram,Orthographic 90 độ,Slow crane down,"Obsidian floor, axis amber/teal","Trục phủ 70% khung, bốn ô cân bằng",BẢN ĐỒ 2×2 · KHÔNG PHẢI BỐN GIAI ĐOẠN,assets/v11_graphics/MG05_matrix_axes.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Low wooden knock bốn nhịp đồng thời,Ngăn lỗi diễn giải phổ biến về ma trận.,V11 plan: assets/v11_graphics/MG05_matrix_axes.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Ngăn lỗi diễn giải phổ biến về ma trận.
S019,00:02:26.900,00:02:31.500,4.600000,“Trung tính” kết hợp với “con người kiểm soát” tạo thành thuyết công cụ.,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Giải thích một trục bằng vật chất hóa giá trị. Asset: MG06_matrix_instrumentalism.mp4.,Top-down with macro inserts,50 mm + orthographic,Vertical tilt controlled,Neutral-to-amber gradient chỉ trên vật thể,"Trục dọc chính giữa, labels hậu kỳ",TRUNG TÍNH VỀ GIÁ TRỊ ↑↓ MANG GIÁ TRỊ,assets/v11_graphics/MG06_matrix_instrumentalism.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Riser ngắn, không whoosh lớn",Giải thích một trục bằng vật chất hóa giá trị.,V11 plan: assets/v11_graphics/MG06_matrix_instrumentalism.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Giải thích một trục bằng vật chất hóa giá trị.
S020,00:02:31.500,00:02:35.100,3.600000,“Trung tính” kết hợp với “tự trị” là thuyết tất định công nghệ:,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Làm rõ nghĩa kiểm soát/tự trị trước bốn ô. Asset: MG07_matrix_determinism.mp4.,Top-down split perspective,35 mm,Horizontal slide,"Cold left, warm right nhưng cùng palette",Hai đầu trục ngang đối xứng,TỰ TRỊ ←→ CON NGƯỜI CÓ THỂ KIỂM SOÁT,assets/v11_graphics/MG07_matrix_determinism.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Motor hum trái; module click phải,Làm rõ nghĩa kiểm soát/tự trị trước bốn ô.,V11 plan: assets/v11_graphics/MG07_matrix_determinism.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Làm rõ nghĩa kiểm soát/tự trị trước bốn ô.
